,RF_importance,GBR_importance,MI_score,F_statistic,RF_importance_norm,GBR_importance_norm,MI_score_norm,F_statistic_norm,avg_importance,type
t2,0.21909796396774572,0.19630035697124856,0.37832115595061433,15.39633241561845,0.9999999995435831,0.9999999994905765,0.7940156458349867,0.8978451333283182,0.9229651945493662,Original
p2,0.03520366509810896,0.16305737684976937,0.47646561860046255,0.8370242975698583,0.16067545514582637,0.83065247196971,0.9999999997901212,0.048811507296912554,0.5100348585506426,Original
p48,0.17345177108961393,0.08449376455569549,0.28216641037651913,0.10281170012878804,0.7916630892835779,0.43043102832985625,0.592207284853238,0.005995517771245447,0.4550742300594794,Original
gtt,0.09016700388477106,0.10710945100305197,0.3709656892384663,0.5081480785203182,0.4115373881652828,0.5456406325546105,0.7785780855505539,0.029632919515740222,0.4413472564465468,Original
ggn_squared,0.07576271373667504,0.07451865740821345,0.30241874068526853,4.334826411037739,0.34579378251661425,0.3796154959675717,0.634712618950558,0.25278765695037486,0.40322738859627966,Engineered
ggn,0.07022505899790885,0.06316808814531426,0.3024404437017245,4.546300278105311,0.32051899385151317,0.32179303740332454,0.6347581689663496,0.2651198655080525,0.38554751643230994,Original
t48_squared,0.014046534641682719,0.002450619152105893,0.15110561152891178,17.14809363442708,0.06411074927806946,0.012484027989905406,0.31713854179247014,0.9999999999941686,0.3484333297636534,Engineered
pexh,0.09117811392487701,0.07297115421258012,0.19316213831400564,3.254226505386343,0.41615226464032534,0.3717321522043627,0.4054062470254333,0.189771911370607,0.34576564381018204,Original
t48,0.013326513059944329,0.0037569518248313743,0.15008342827596266,15.684520099066214,0.06082444954086261,0.0191387926180275,0.3149931965401997,0.9146509479914425,0.32740184667263306,Original
power_indicator,0.029429049349548375,0.044242676551793474,0.3555261545661521,0.7294277294939329,0.1343191365322264,0.2253825576880397,0.7461737859193972,0.04253695746244678,0.2871031094005275,Engineered
tic,0.04078828099466687,0.018172136144397284,0.1470134304872377,9.620033150164318,0.18616458244246858,0.09257311813142338,0.3085499241019948,0.5609972370803202,0.28707121543905173,Original
efficiency_proxy,0.014670224472001718,0.0110031488636111,0.0913375113751087,13.141855776490155,0.06695737468133497,0.05605261767107959,0.1916980109167739,0.7663741554355344,0.27027053967618075,Engineered
gtn_squared,0.021830893956075462,0.04097550333756446,0.32967225846090065,0.7267989071672856,0.0996398759293139,0.2087388120373725,0.691911956543824,0.04238365632106777,0.26066857520789455,Engineered
gtn,0.020428454326269,0.025173884385155474,0.3302997827946723,0.5936211243403319,0.09323890531430253,0.12824166374806154,0.6932289966599255,0.03461732464214545,0.2373317225911088,Original
t_p_product,0.021265040766445687,0.04142297409330037,0.17620859821130574,2.6975065272821546,0.09705722669276139,0.21101833288191937,0.3698243719912181,0.15730649626561524,0.20880160695787853,Engineered
torque_ratio,0.052123390615328564,0.033877428466793785,0.10219214189709991,2.2270146682024836,0.23789993137139265,0.17257955600405628,0.2144795718436603,0.12986951877370603,0.1887071444982038,Engineered
mf_squared,0.0033529007047530487,0.0008239195104225326,0.1691960097838061,4.3381183785090265,0.015303203382192643,0.0041972389796697375,0.3551064403036681,0.2529796297458033,0.15689662810283345,Engineered
tp,0.004260088066451684,0.00660182562653069,0.240451987048369,0.7218899331696595,0.019443759254350955,0.03363124614253509,0.5046575820185945,0.04209738694895856,0.14995749359110977,Original
ts,0.004085109745281532,0.006309183622313801,0.24030014060729066,0.7218899331696594,0.01864512873345735,0.032140459225063145,0.5043388886331357,0.04209738694895855,0.1493054658851537,Original
mf,0.0033452040759028544,9.046886208195479e-05,0.17255730647555723,3.581551475815685,0.015268074672152169,0.0004608695747258294,0.3621610871865196,0.2088600372815995,0.14668751717874928,Original
lp,0.001264688517343391,0.0022437620959331857,0.0,0.6501038036613888,0.005772251343021816,0.011430249691898405,0.0,0.037911141466619225,0.013778410625384862,Original
v,0.0006973360086039962,0.0012366683172914845,0.0,0.6480517948904994,0.0031827589615957266,0.0062998780834750455,0.0,0.03779147750777789,0.011818528638212165,Original
prop_balance,0.0,0.0,0.002481454239542713,0.0,0.0,0.0,0.005208044698609655,0.0,0.0013020111746524137,Engineered
